경마장,경주일,년월,경주번호,등급,경주거리,출주두수,신마수,정산여부,actual_top3,m_rank_top4,r_pop_top4,m_rank_top6,r_pop_top6,overlap_1to4,m_BOX4_hit,m_BOX4_refund,m_BOX4_bet,r_BOX4_hit,r_BOX4_refund,r_BOX4_bet,m_BOX6_hit,m_BOX6_refund,m_BOX6_bet,r_BOX6_hit,r_BOX6_refund,r_BOX6_bet
부산,20240114,202401,8,1등급,1200.0,11,0,SETTLED,"2,7,10","1,7,6,4","11,8,1,5","1,7,6,4,8,10","11,8,1,5,2,3",1,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240119,202401,2,국6등급,1300.0,11,1,SETTLED,"3,5,11","9,11,5,2","11,9,6,2","9,11,5,2,6,10","11,9,6,2,5,8",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240119,202401,3,국6등급,1400.0,11,1,SETTLED,"4,6,8","10,3,6,8","10,4,3,11","10,3,6,8,4,11","10,4,3,11,6,8",2,0,0.0,400,0,0.0,400,1,3070.0,2000,1,3070.0,2000
부산,20240119,202401,4,국5등급,1200.0,11,0,SETTLED,"2,4,8","10,7,3,8","7,9,10,4","10,7,3,8,9,4","7,9,10,4,3,1",2,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240119,202401,5,국5등급,1300.0,11,0,SETTLED,"3,5,8","4,5,3,9","5,4,3,7","4,5,3,9,10,2","5,4,3,7,9,10",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240119,202401,6,국5등급,1600.0,11,0,SETTLED,"4,8,11","1,6,10,11","9,4,1,8","1,6,10,11,4,8","9,4,1,8,7,6",1,0,0.0,400,0,0.0,400,1,5580.0,2000,0,0.0,2000
부산,20240119,202401,7,혼4등급,1400.0,11,0,SETTLED,"1,6,9","9,7,1,4","9,8,6,11","9,7,1,4,8,11","9,8,6,11,7,4",1,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240119,202401,8,혼4등급,1800.0,11,0,SETTLED,"3,7,9","9,3,1,8","9,10,4,1","9,3,1,8,6,11","9,10,4,1,2,3",2,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240121,202401,2,국6등급,1300.0,11,0,SETTLED,"2,3,5","3,2,10,7","3,4,5,9","3,2,10,7,1,4","3,4,5,9,2,1",1,0,0.0,400,0,0.0,400,0,0.0,2000,1,1910.0000000000002,2000
부산,20240121,202401,3,국5등급,1400.0,11,0,SETTLED,"1,3,11","2,10,3,11","10,2,3,1","2,10,3,11,6,1","10,2,3,1,11,4",3,0,0.0,400,0,0.0,400,1,14350.0,2000,1,14350.0,2000
부산,20240121,202401,4,혼4등급,1200.0,11,1,SETTLED,"4,8,9","8,6,1,4","8,11,9,6","8,6,1,4,3,9","8,11,9,6,5,4",2,0,0.0,400,0,0.0,400,1,1939.9999999999998,2000,1,1939.9999999999998,2000
