전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1착(7) / 2착(4) / 3착(2,5~6) 삼쌍",7,4,"2,5~6",3,1837,1837,5,0.0027218290691344584,551100.0,2032900.0,1481800.0,3.6888042097622935,"부산 20250926 7R (3, 9, 5) @1294.0 | 부산 20251019 6R (9, 10, 8) @595.0 | 부산 20251121 8R (5, 7, 4) @17900.0"
"1착(4) / 2착(3) / 3착(1~2,5) 삼쌍",4,3,"1~2,5",3,1837,1837,18,0.00979858464888405,551100.0,2032600.0,1481500.0,3.6882598439484666,"부산 20250309 1R (9, 12, 2) @80.0 | 부산 20250620 5R (1, 2, 7) @425.0 | 부산 20250711 3R (11, 7, 6) @2609.0"
"1착(7) / 2착(3~4,8) / 3착(6) 삼쌍",7,"3~4,8",6,3,1837,1837,3,0.001633097441480675,551100.0,2021100.0,1470000.0,3.667392487751769,"부산 20250425 5R (5, 12, 3) @951.0 | 부산 20251121 8R (5, 7, 4) @17900.0 | 서울 20250209 4R (11, 5, 7) @1360.0"
1착(4) / 2착(1) / 3착(3) 삼쌍,4,1,3,1,1837,1837,12,0.0065323897659227,183700.0,672700.0,489000.0,3.6619488296135003,"부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250425 2R (5, 6, 7) @121.0 | 부산 20250711 5R (1, 5, 7) @153.0"
"1착(3,7) / 2착(1,4) / 3착(6) 삼쌍","3,7","1,4",6,4,1837,1837,10,0.005443658138268917,734800.0,2683400.0,1948600.0,3.651878062057703,"부산 20250221 8R (2, 10, 12) @4863.0 | 부산 20250824 6R (11, 3, 7) @212.0 | 부산 20251121 8R (5, 7, 4) @17900.0"
"1착(4,6) / 2착(3) / 3착(5) 삼쌍","4,6",3,5,2,1837,1837,11,0.005988023952095809,367400.0,1341300.0,973900.0,3.650789330430049,"부산 20250620 5R (1, 2, 7) @425.0 | 부산 20250711 3R (11, 7, 6) @2609.0 | 부산 20250711 4R (1, 8, 2) @415.0"
1착(6) / 2착(1~2) / 3착(3) 삼쌍,6,1~2,3,2,1837,1837,13,0.007076755579749592,367400.0,1336100.0,968700.0,3.6366358192705497,"부산 20250117 7R (3, 9, 8) @312.0 | 부산 20250817 1R (4, 2, 1) @47.0 | 부산 20251114 5R (5, 7, 9) @416.0"
"1착(3,8) / 2착(2) / 3착(7) 삼쌍","3,8",2,7,2,1837,1837,12,0.0065323897659227,367400.0,1333400.0,966000.0,3.6292868807838867,"부산 20250110 4R (9, 3, 4) @5121.0 | 부산 20250523 8R (1, 2, 8) @869.0 | 부산 20250919 5R (1, 8, 3) @537.0"
"1착(5,7~8) / 2착(4) / 3착(6) 삼쌍","5,7~8",4,6,3,1837,1837,3,0.001633097441480675,551100.0,1995600.0,1444500.0,3.6211213935764834,"부산 20250404 8R (7, 3, 10) @1898.0 | 부산 20250620 7R (4, 10, 2) @158.0 | 부산 20251121 8R (5, 7, 4) @17900.0"
1착(7) / 2착(2~4) / 3착(6) 삼쌍,7,2~4,6,3,1837,1837,4,0.002177463255307567,551100.0,1994100.0,1443000.0,3.618399564507349,"부산 20251121 8R (5, 7, 4) @17900.0 | 서울 20250209 4R (11, 5, 7) @1360.0 | 서울 20250720 11R (7, 6, 8) @95.0"
